title,first_name,last_name
"ACADEMY DINOSAUR",PENELOPE,GUINESS
"ACADEMY DINOSAUR",CHRISTIAN,GABLE
"ACADEMY DINOSAUR",LUCILLE,TRACY
"ACADEMY DINOSAUR",SANDRA,PECK
"ACADEMY DINOSAUR",JOHNNY,CAGE
"ACADEMY DINOSAUR",MENA,TEMPLE
"ACADEMY DINOSAUR",WARREN,NOLTE
"ACADEMY DINOSAUR",OPRAH,KILMER
"ACADEMY DINOSAUR",ROCK,DUKAKIS
"ACADEMY DINOSAUR",MARY,KEITEL
"ACE GOLDFINGER",BOB,FAWCETT
"ACE GOLDFINGER",MINNIE,ZELLWEGER
"ACE GOLDFINGER",SEAN,GUINESS
"ACE GOLDFINGER",CHRIS,DEPP
"ADAPTATION HOLES",NICK,WAHLBERG
"ADAPTATION HOLES",BOB,FAWCETT
"ADAPTATION HOLES",CAMERON,STREEP
"ADAPTATION HOLES",RAY,JOHANSSON
"ADAPTATION HOLES",JULIANNE,DENCH
"AFFAIR PREJUDICE",JODIE,DEGENERES
"AFFAIR PREJUDICE",SCARLETT,DAMON
"AFFAIR PREJUDICE",KENNETH,PESCI
"AFFAIR PREJUDICE",FAY,WINSLET
"AFFAIR PREJUDICE",OPRAH,KILMER
"AFRICAN EGG",GARY,PHOENIX
"AFRICAN EGG",DUSTIN,TAUTOU
"AFRICAN EGG",MATTHEW,LEIGH
"AFRICAN EGG",MATTHEW,CARREY
"AFRICAN EGG",THORA,TEMPLE
"AGENT TRUMAN",KIRSTEN,PALTROW
"AGENT TRUMAN",SANDRA,KILMER
"AGENT TRUMAN",JAYNE,NEESON
"AGENT TRUMAN",WARREN,NOLTE
"AGENT TRUMAN",MORGAN,WILLIAMS
"AGENT TRUMAN",KENNETH,HOFFMAN
"AGENT TRUMAN",REESE,WEST
"AIRPLANE SIERRA",JIM,MOSTEL
"AIRPLANE SIERRA",RICHARD,PENN
"AIRPLANE SIERRA",OPRAH,KILMER
"AIRPLANE SIERRA",MENA,HOPPER
"AIRPLANE SIERRA",MICHAEL,BOLGER
"AIRPORT POLLOCK",FAY,KILMER
"AIRPORT POLLOCK",GENE,WILLIS
"AIRPORT POLLOCK",SUSAN,DAVIS
"AIRPORT POLLOCK",LUCILLE,DEE
"ALABAMA DEVIL",CHRISTIAN,GABLE
"ALABAMA DEVIL",ELVIS,MARX
"ALABAMA DEVIL",RIP,CRAWFORD
"ALABAMA DEVIL",MENA,TEMPLE
"ALABAMA DEVIL",RIP,WINSLET
"ALABAMA DEVIL",WARREN,NOLTE
"ALABAMA DEVIL",GRETA,KEITEL
"ALABAMA DEVIL",WILLIAM,HACKMAN
"ALABAMA DEVIL",MERYL,ALLEN
"ALADDIN CALENDAR",ALEC,WAYNE
"ALADDIN CALENDAR",JUDY,DEAN
"ALADDIN CALENDAR",VAL,BOLGER
"ALADDIN CALENDAR",RAY,JOHANSSON
"ALADDIN CALENDAR",RENEE,TRACY
"ALADDIN CALENDAR",JADA,RYDER
"ALADDIN CALENDAR",GRETA,MALDEN
"ALADDIN CALENDAR",ROCK,DUKAKIS
"ALAMO VIDEOTAPE",JOHNNY,CAGE
"ALAMO VIDEOTAPE",SCARLETT,DAMON
"ALAMO VIDEOTAPE",SEAN,GUINESS
"ALAMO VIDEOTAPE",MICHAEL,BENING
"ALASKA PHANTOM",VAL,BOLGER
"ALASKA PHANTOM",BURT,POSEY
"ALASKA PHANTOM",SIDNEY,CROWE
"ALASKA PHANTOM",SYLVESTER,DERN
"ALASKA PHANTOM",ALBERT,JOHANSSON
"ALASKA PHANTOM",GENE,MCKELLEN
"ALASKA PHANTOM",JEFF,SILVERSTONE
"ALI FOREVER",CARY,MCCONAUGHEY
"ALI FOREVER",CHRISTOPHER,BERRY
"ALI FOREVER",KENNETH,TORN
"ALI FOREVER",MORGAN,MCDORMAND
"ALI FOREVER",JON,CHASE
"ALICE FANTASIA",WOODY,HOFFMAN
"ALICE FANTASIA",MINNIE,ZELLWEGER
"ALICE FANTASIA",MORGAN,WILLIAMS
"ALICE FANTASIA",ROCK,DUKAKIS
"ALIEN CENTER",BURT,DUKAKIS
"ALIEN CENTER",KENNETH,PALTROW
"ALIEN CENTER",SIDNEY,CROWE
"ALIEN CENTER",RENEE,TRACY
"ALIEN CENTER",HUMPHREY,WILLIS
"ALIEN CENTER",MENA,HOPPER
"ALLEY EVOLUTION",KARL,BERRY
"ALLEY EVOLUTION",JUDE,CRUISE
"ALLEY EVOLUTION",ALBERT,JOHANSSON
"ALLEY EVOLUTION",GREGORY,GOODING
"ALLEY EVOLUTION",JOHN,SUVARI
"ALONE TRIP",ED,CHASE
"ALONE TRIP",KARL,BERRY
"ALONE TRIP",UMA,WOOD
"ALONE TRIP",WOODY,JOLIE
"ALONE TRIP",SPENCER,DEPP
"ALONE TRIP",CHRIS,DEPP
"ALONE TRIP",LAURENCE,BULLOCK
"ALONE TRIP",RENEE,BALL
"ALTER VICTORY",REESE,KILMER
"ALTER VICTORY",JADA,RYDER
"ALTER VICTORY",ANGELA,WITHERSPOON
"ALTER VICTORY",OPRAH,KILMER
"AMADEUS HOLY",JOHNNY,LOLLOBRIGIDA
"AMADEUS HOLY",JULIA,MCQUEEN
"AMADEUS HOLY",VAL,BOLGER
"AMADEUS HOLY",KIRK,JOVOVICH
"AMADEUS HOLY",JAMES,PITT
"AMADEUS HOLY",PENELOPE,CRONYN
"AMELIE HELLFIGHTERS",CARMEN,HUNT
"AMELIE HELLFIGHTERS",WALTER,TORN
